Year,longitude,latitude,xco2
2015,68.125,8.0,399.68085151734084
2015,68.125,8.5,399.6954568548815
2015,68.125,9.0,399.7079456184014
2015,68.125,9.5,399.71936479025953
2015,68.125,10.0,399.72745934854584
2015,68.125,10.5,399.73961921775555
2015,68.125,11.0,399.7559198900703
2015,68.125,11.5,399.7647497952668
2015,68.125,12.0,399.77142895461225
2015,68.125,12.5,399.7817858064121
2015,68.125,13.0,399.7938962680323
2015,68.125,13.5,399.80370642512815
2015,68.125,14.0,399.8118171543979
2015,68.125,14.5,399.8184889302577
2015,68.125,15.0,399.8240231041603
2015,68.125,15.5,399.8290808000755
2015,68.125,16.0,399.83375580651256
2015,68.125,16.5,399.8394044548763
2015,68.125,17.0,399.84658951182473
2015,68.125,17.5,399.8531701801121
2015,68.125,18.0,399.8592973795337
2015,68.125,18.5,399.86825649163166
2015,68.125,19.0,399.8792696221648
2015,68.125,19.5,399.8903193711992
2015,68.125,20.0,399.90029513016617
2015,68.125,20.5,399.9090991498535
2015,68.125,21.0,399.9202865728451
2015,68.125,21.5,399.9320673527414
2015,68.125,22.0,399.9462443081722
2015,68.125,22.5,399.95872570327145
2015,68.125,23.0,399.97600310734987
2015,68.125,23.5,399.9965283024555
2015,68.125,24.0,400.01872404757995
2015,68.125,24.5,400.0326892512456
2015,68.125,25.0,400.06040063711777
2015,68.125,25.5,400.0489389965139
2015,68.125,26.0,400.0221391407396
2015,68.125,26.5,400.0389675402068
2015,68.125,27.0,400.03850397764944
2015,68.125,27.5,400.04341313747926
2015,68.125,28.0,400.03132385504745
2015,68.125,28.5,400.01520406316007
2015,68.125,29.0,399.97167948707806
2015,68.125,29.5,399.9091355017933
2015,68.125,30.0,399.73854965044944
2015,68.125,30.5,399.5377005654566
2015,68.125,31.0,399.4828677639018
2015,68.125,31.5,399.45366320928184
2015,68.125,32.0,399.43390488204
2015,68.125,32.5,399.415161508228
2015,68.125,33.0,399.37325612710174
2015,68.125,33.5,399.2543962526322
2015,68.125,34.0,399.1777840563515
2015,68.125,34.5,399.1001957045533
2015,68.125,35.0,399.08129741084593
2015,68.125,35.5,399.16929009509687
2015,68.125,36.0,399.25808513119614
2015,68.125,36.5,399.46476232210756
2015,68.125,37.0,399.59765812519123
2015,68.75,8.0,399.68192121094233
2015,68.75,8.5,399.6970864908644
2015,68.75,9.0,399.71121757246283
2015,68.75,9.5,399.72284676616005
2015,68.75,10.0,399.7322921236038
2015,68.75,10.5,399.7439419749155
2015,68.75,11.0,399.7568925374437
