latitude,longitude,xco2,name,capacity_mw,generation_gwh,est_Gt_co2_emms,est_Gt_co2_atm,Gt_co2
11.076,79.57,405.761563,KUTTALAM GT,101.0,309.549,0.00021668429999999997,9.750793499999999e-05,3168.99780703
28.7327,77.1016,400.753525,RITHALA CCCP,94.8,0.0,0.0,0.0,3129.88503025
28.7327,77.1016,404.483031,RITHALA CCCP,94.8,0.0,0.0,0.0,3159.0124721099996
28.7327,77.1016,406.719574,RITHALA CCCP,94.8,0.0,0.0,0.0,3176.47987294
23.626,91.1948,400.289525,ROKHIA GT,63.0,466.77,0.000326739,0.00014703255,3126.2611902500003
23.626,91.1948,403.776332,ROKHIA GT,63.0,434.18,0.000303926,0.0001367667,3153.49315292
23.626,91.1948,406.143931,ROKHIA GT,63.0,406.76,0.00028473199999999994,0.00012812939999999997,3171.9841011099998
9.3279,78.9215,399.833285,VALANTHARVI GT,52.8,170.734,0.00011951380000000001,5.378121000000001e-05,3122.6979558499997
9.3279,78.9215,403.276645,VALANTHARVI GT,52.8,374.892,0.0002624244,0.00011809098,3149.5905974499997
9.3279,78.9215,405.654563,VALANTHARVI GT,52.8,370.625,0.0002594375,0.00011674687500000001,3168.16213703
23.807,91.565,400.250843,BARAMURA,42.0,231.626436,0.0001621385052,7.296232734e-05,3125.9590838299996
23.807,91.565,403.736901,BARAMURA,42.0,187.1936693391032,0.00013103556853737223,5.8966005841817506e-05,3153.18519681
23.807,91.565,406.102443,BARAMURA,42.0,178.10669,0.00012467468299999997,5.610360734999999e-05,3171.6600798299996
10.9325,79.8216,399.889835,KARAIKAL,32.5,212.9191786,0.00014904342501999998,6.706954125899999e-05,3123.13961135
10.9325,79.8216,403.354376,KARAIKAL,32.5,231.32471,0.000161927297,7.286728365e-05,3150.1976765599998
10.9325,79.8216,405.761563,KARAIKAL,32.5,212.3774439145722,0.00014866421074020053,6.689889483309024e-05,3168.99780703
11.2054,75.8067,399.906087,KOJIKODE DG,96.0,133.4064,0.000102722928,4.62253176e-05,3123.2665394699998
11.2054,75.8067,403.326551,KOJIKODE DG,96.0,36.34044,2.79821388e-05,1.259196246e-05,3149.98036331
11.2054,75.8067,405.677962,KOJIKODE DG,96.0,0.74653,5.748281000000001e-07,2.5867264500000004e-07,3168.3448832199997
9.9975,76.3744,399.9249,BRAMHAPURAM DG,60.0,12.8899,9.925223e-06,4.466350350000001e-06,3123.4134689999996
9.9975,76.3744,403.348499,BRAMHAPURAM DG,60.0,5.1171,3.940167e-06,1.7730751499999999e-06,3150.15177719
9.9975,76.3744,405.695631,BRAMHAPURAM DG,60.0,0.4257687955728225,3.278419725910733e-07,1.47528887665983e-07,3168.48287811
